EmpID,Age,Department,JobRole,MonthlyIncome,Attrition,PerformanceRating
RM030,46,Sales,Manager,19447,No,3
RM049,46,Sales,Sales Executive,6272,No,4
RM080,46,Human Resources,Human Resources,5521,No,4
RM090,46,Sales,Sales Executive,10119,Yes,3
RM094,46,Research & Development,Healthcare Representative,11173,No,3
RM179,46,Sales,Sales Executive,10953,No,4
RM210,46,Research & Development,Healthcare Representative,9896,No,3
RM264,46,Sales,Manager,17372,No,3
RM366,46,Research & Development,Manufacturing Director,5758,No,3
RM413,46,Research & Development,Manufacturing Director,5310,No,3
RM430,46,Research & Development,Research Director,18361,No,3
RM434,46,Sales,Sales Executive,9571,No,3
RM466,46,Research & Development,Healthcare Representative,11027,No,3
RM724,46,Research & Development,Manufacturing Director,11345,No,3
RM771,46,Research & Development,Research Director,20127,No,3
RM779,46,Research & Development,Research Scientist,5115,No,4
RM811,46,Sales,Manager,17965,No,3
RM862,46,Sales,Manager,17548,No,4
RM870,46,Research & Development,Research Director,19581,No,3
RM878,46,Research & Development,Manufacturing Director,7879,No,3
RM917,46,Sales,Manager,19289,No,3
RM944,46,Human Resources,Human Resources,3923,No,3
RM1032,46,Sales,Sales Executive,10596,Yes,3
RM1081,46,Sales,Manager,17106,No,3
RM1136,46,Sales,Manager,18067,No,3
RM1232,46,Research & Development,Healthcare Representative,6062,No,3
RM1236,46,Sales,Sales Executive,10868,No,3
RM1278,46,Research & Development,Research Director,19828,No,3
RM1286,46,Sales,Sales Executive,8491,No,3
RM1299,46,Research & Development,Healthcare Representative,9426,Yes,4
RM1323,46,Research & Development,Manufacturing Director,9078,No,3
RM1328,46,Sales,Sales Executive,13725,No,3
RM1334,46,Sales,Sales Executive,7814,Yes,4
RM272,47,Research & Development,Manager,12349,Yes,3
RM330,47,Research & Development,Research Director,18800,No,3
RM348,47,Sales,Sales Representative,3476,No,3
RM429,47,Research & Development,Manufacturing Director,5570,No,3
RM533,47,Sales,Sales Executive,5460,No,3
RM545,47,Sales,Sales Executive,14270,No,3
RM567,47,Sales,Sales Executive,6897,Yes,3
RM593,47,Research & Development,Manager,17252,No,3
RM652,47,Sales,Sales Executive,5037,No,4
RM666,47,Sales,Sales Representative,3794,No,3
RM708,47,Research & Development,Manufacturing Director,5567,No,3
RM720,47,Sales,Sales Executive,4663,No,3
RM1021,47,Research & Development,Research Scientist,3920,No,3
RM1025,47,Research & Development,Research Director,17669,No,3
RM1068,47,Sales,Sales Executive,5091,No,3
RM1155,47,Human Resources,Manager,20158,No,3
RM1195,47,Sales,Manager,16472,No,3
RM1224,47,Sales,Sales Executive,13436,Yes,3
RM1235,47,Sales,Sales Executive,5478,No,3
RM1304,47,Research & Development,Manufacturing Director,10833,No,3
RM1322,47,Research & Development,Laboratory Technician,2605,No,3
RM1371,47,Research & Development,Research Scientist,5967,No,3
RM1415,47,Research & Development,Healthcare Representative,9133,No,4
RM1422,47,Research & Development,Research Director,12457,No,3
RM051,48,Research & Development,Laboratory Technician,5881,Yes,3
RM353,48,Sales,Manager,13004,No,4
RM445,48,Sales,Sales Executive,4551,No,3
RM493,48,Research & Development,Manager,15902,No,3
RM521,48,Sales,Sales Executive,8620,No,3
RM679,48,Research & Development,Research Scientist,2759,No,3
RM736,48,Research & Development,Healthcare Representative,4740,No,3
RM737,48,Research & Development,Healthcare Representative,11499,No,3
RM805,48,Research & Development,Manager,17385,No,4
RM902,48,Research & Development,Laboratory Technician,3059,No,3
RM905,48,Research & Development,Research Director,18765,No,3
RM970,48,Research & Development,Manufacturing Director,8398,No,3
RM1039,48,Sales,Sales Executive,5986,No,3
RM1104,48,Sales,Sales Executive,6939,No,3
RM1115,48,Research & Development,Research Scientist,2867,No,3
RM1167,48,Research & Development,Manager,15702,No,4
RM1205,48,Sales,Sales Representative,3155,Yes,3
RM1332,48,Research & Development,Research Director,20165,No,3
RM1352,48,Research & Development,Manager,17674,No,3
RM002,49,Research & Development,Research Scientist,5630,No,4
RM130,49,Research & Development,Manufacturing Director,7067,No,3
RM202,49,Research & Development,Manufacturing Director,7304,No,3
RM291,49,Research & Development,Research Director,19165,No,3
RM317,49,Research & Development,Healthcare Representative,14464,No,3
RM376,49,Research & Development,Healthcare Representative,11465,No,4
RM474,49,Research & Development,Research Director,20002,No,3
RM608,49,Sales,Sales Executive,8154,Yes,3
RM640,49,Research & Development,Research Scientist,4080,No,3
RM678,49,Research & Development,Laboratory Technician,7903,No,3
RM822,49,Sales,Sales Executive,13620,No,3
RM900,49,Research & Development,Manager,19211,No,3
RM1007,49,Research & Development,Laboratory Technician,4784,Yes,4
